Artist,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,R.E.M.,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock and the Egyptians,Robyn Hitchcock and the Egyptians,Robyn Hitchcock,Robyn Hitchcock and the Egyptians,Robyn Hitchcock and the Egyptians,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock and Venus 3,Robyn Hitchcock and Venus 3,Robyn Hitchcock and Venus 3,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,Robyn Hitchcock,The Soft Boys,The Soft Boys,Pavement,Pavement,Pavement,Pavement,Pavement,Pixies,Pixies,Pixies,Pixies,Pixies,The Breeders,The Breeders,Kim Deal,Beach House,Beach House,Beach House,Beach House,Beach House,Beach House,Beach House,Beach House,Vampire Weekend,Vampire Weekend,Vampire Weekend,Vampire Weekend,Vampire Weekend,Luna,Luna,Luna,Luna,Luna,Luna,Luna,Dean and Britta,Dean and Britta,Dean Wareham,Dean Wareham,Dean Wareham,Dean Wareham,blur,blur,blur,blur,blur,blur,blur,blur,blur,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Gorillaz,The Clientele,The Clientele,The Clientele,The Clientele,The Clientele,The Clientele,The Clientele,The Clientele,Kendrick Lamar,Kendrick Lamar,Kendrick Lamar,Jeff Buckley,The B-52's,The B-52's,The B-52's,The B-52's,The B-52's,The B-52's,The B-52's,Matthew Sweet,Matthew Sweet,Matthew Sweet,Matthew Sweet,Matthew Sweet,Cigarettes After Sex,Cigarettes After Sex,Cigarettes After Sex,The Zombies,Elastica,Radiohead,Radiohead,Radiohead,Radiohead,Radiohead,Radiohead,The Magnetic Fields,The Magnetic Fields,The Magnetic Fields,The Magnetic Fields,Prince and the Revolution,David Bowie,ACDC,ACDC,Neutral Milk Hotel,Prom Queen,Prom Queen,Prom Queen,Leeni,Beck ,Beck ,Beck ,The Smiths,The Smiths,The Smiths,The Smiths,The Smiths,The Smiths
9,,10,10,10,9,7,10,9,9,8,8,7,9,10,6.5,9,8,8,9,8,8,8.5,9,10,8,8,8.5,8,8,8.5,9,8,9,8,8,8,8.5,8,7.5,9,8.5,8.5,10,10,10,10,8,9,9,,9,8,8,9,8,8,8.5,8,8.5,8,8,10,8.5,9,8,8,10,9,7,10,8.5,8.5,9,7.5,8,9,9,8,10,,9,8,8,8,9,9,9,8,8.5,8,8,7.5,7.5,8,8,7,7.5,8.5,8,8.5,10,8.5,9,10,9,8,10,9,8.5,10,10,7.5,8,7,6.5,9,10,10,9,9,8.5,7.5,10,9,9,9,9.5,9,10,8,9,8,9,8,10,6.5,8,8.5,10,10,10,7.5,8,9,8,9,9.5,8,8,8.5,10,10,7.5,10,7.5,7.5
10,,10,9,10,9,8,7,10,9,8.5,7.5,7,8,9,8,9,8,7,7,8,8,10,8.5,8,8,8,8.5,9,10,9,7.5,8,9,8,8.5,8,10,9,8,10,8,8,9,8,9,10,9,8,9.5,,9,10,10,9,10,9,8,,8.5,10,10,,,9,8,9,9,10,8.5,,8,8.5,9,9,8,8.5,8.5,9,8.5,,,7.5,8.5,8,10,9,8,9,8,9,7.5,7.5,8,8,10,7.5,8,9,8,8.5,9,9,8.5,8.5,8,8,7.5,10,10,9,9,,,,7,9,7,7.5,10,8.5,10,8,9,9,,8.5,7,9,9,10,8,7.5,8,8,9,9,10,8,,10,7.5,7.5,8.5,,10,10,9,9,9,8.5,7.5,9,8,9,10,10
11,,8,,10,9,7,10,10,10,10,8,8,9,8,8,8,9,7,8,8,8,,,9,8,,9,8,8.5,7.5,8.5,8,,,,,,,,,,8,,,10,8,9,9,8,,,10,8,10,9,8.5,8,,8,,,,,8.5,8.5,9,,7.5,8,,9,,10,,10,8.5,8,9,9,,,,,7.5,8,8,10,8,8,8.5,10,,9,10,9,7,8,8.5,,8,8,10,8.5,8,8.5,7.5,8.5,9,10,9,,,,,,,,7.5,8.5,7.5,9.5,7,8.5,,,,9,10,8,10,,7.5,9,,9,7,8,7,,9,,,10,,8.5,,,8.5,9,10,8,7.5,,,,8.5
12,,7,,,10,,,,10,9,8,6.5,9,8,,8,9,,10,9,9,,,10,,,8.5,9,8,8,10,8,,,,,,,,,,8,,,8,,8,8,,,,8,8,9,8.5,9,,,,,,,,,8,,,9,8.5,,,,,,9,,,8.5,,,,,,8,10,8,9,8,10,8.5,7,,8,8,7.5,7,,,,9,9,10,10,10,8.5,8.5,7.5,8,9,9,,,,,,,,,10,8,9,7,9,,,,10,8,8,9,,,8.5,,10,6.5,9,9,,,,,,,9,,,,10,,,7,,,,10
13,,,,,,,,,,,6.5,8,,8,,,8,,10,8,9,,,9,,,,,8,,8,,,,,,,,,,,,,,8,,9,,,,,9,9,8,,9,,,,,,,,,8.5,,,,8,,,,,,,,,,,,,,,,9,8,9,8,9,9,,,7.5,9,8,7,,,,9,9,10,9,9,,,9,,9,8.5,,,,,,,,,8,7.5,,,9.5,,,,,8.5,,,,,7.5,,8,7,8.5,7,,,,,,,,,,,9,,,8,,,,10
14,,,,,,,,,,,10,8,,,,,8,,8,8.5,8.5,,,9,,,,,9,,,,,,,,,,,,,,,,8,,8.5,,,,,7,9,9,,8.5,,,,,,,,,8.5,,,,9,,,,,,,,,,,,,,,,9,8,8,8,,,,,8,9,8.5,7.5,,,,,,,,9,,,7.5,,8.5,9,,,,,,,,,8,10,,,10,,,,,10,,,,,7,,8,6.5,9,10,,,,,,,,,,,,,,9,,,,8
15,,,,,,,,,,,,,,,,,7.5,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,7.5,,7,,8.5,,,,,,,,,8.5,,,,8.5,,,,,,,,,,,,,,,,8,8,9,,,,,,7,,7,7,,,,,,,,,,,8,,8.5,,,,,,,,,,9,9,,,,,,,,9,,,,,,,10,6.5,8.5,,,,,,,,,,,,,,,10,,,,8
16,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,8.5,,,,9,,,,,,,,,,,,,,,,9,8,,,,,,,7.5,,7.5,7,,,,,,,,,,,8,,9,,,,,,,,,,,,,,,,,,,9,,,,,,,8,7,10,,,,,,,,,,,,,,,10,,,,8.5
17,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,8.5,,,,8.5,,,,,,,,,,,,,,,,8,,,,,,,,7.5,,,7.5,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,,,,,,,,,,,,,,,,,,,7.5
18,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,8,,,,9,,,,,,,,,,,,,,,,8,,,,,,,,,,,7,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,8.5,,,,,,,,,,,,,,,,,,,9
19,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,8,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8.5,8.5,,,,,,,,,,,,,,,,,,,8.5
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,8,,,,,,,,,,,,,,,,,,,9
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,6.5,,,,,,,,,,,,,,,,,,,10
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7.5,7.5,,,,,,,,,,,,,,,,,,,9
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.5,10,,,,,,,,,,,,,,,,,,,10
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
